"plec","waga","wiek","wojewodztwo","podregion66","godzin_internetu","rok","woj_id"
"kobieta",0.82490616,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",5,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"kobieta",0.79477632,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"mężczyzna",1.044407343744,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",14,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"mężczyzna",1.006260185088,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003","2"
"kobieta",0.79477632,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",5,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"mężczyzna",0.766113617376,"65+ lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.879899904,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",20,"2003","2"
"kobieta",0.847761408,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",0.83855015424,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"mężczyzna",0.903290576448,"45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",3,"2003","2"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.953731584,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",20,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",5,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",30,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",0,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",5,"2003","2"
"mężczyzna",0.87033945312,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003","2"
"kobieta",0.82490616,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003","2"
"mężczyzna",0.83855015424,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003","2"
"mężczyzna",0.80317921152,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",1,"2003","2"
"mężczyzna",0.78169376808,"45-59 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003","2"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",4,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",3,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",10,"2003","2"
"mężczyzna",0.87033945312,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",3,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",10,"2003","2"
"kobieta",0.740602464,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",20,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003","2"
"mężczyzna",0.78169376808,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"kobieta",0.768678582,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003","2"
"kobieta",0.76145184,"35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003","2"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"mężczyzna",0.766113617376,"60-64 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",2,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3,"2003","2"
"mężczyzna",1.044407343744,"25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",40,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",0,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",4,"2003","2"
"mężczyzna",0.903290576448,"45-59 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",1,"2003","2"
"mężczyzna",0.83362760376,"do 24 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",2,"2003","2"
"kobieta",0.768678582,"do 24 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"kobieta",0.989887392,"25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",1,"2003","2"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","BIALSKI",5,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","BIALSKI",4,"2003","15"
"kobieta",1.240203744,"25-34 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",0,"2003","15"
"kobieta",0.99575424,"35-44 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",0,"2003","15"
"kobieta",0.99575424,"35-44 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",0,"2003","15"
"kobieta",0.927881248,"do 24 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",1,"2003","15"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",0,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",3,"2003","15"
"mężczyzna",0.94359203712,"35-44 lata","Lubelskie","PUŁAWSKI",4,"2003","15"
"kobieta",0.99575424,"35-44 lata","Lubelskie","PUŁAWSKI",3,"2003","15"
"mężczyzna",1.04442998632,"25-34 lata","Lubelskie","LUBELSKI",5,"2003","15"
"mężczyzna",1.09042529184,"35-44 lata","Lubelskie","LUBELSKI",6,"2003","15"
"kobieta",1.03350312,"35-44 lata","Lubelskie","LUBELSKI",6,"2003","15"
"mężczyzna",1.09042529184,"35-44 lata","Lubelskie","LUBELSKI",10,"2003","15"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","LUBELSKI",3,"2003","15"
"kobieta",1.062137856,"45-59 lat","Lubelskie","LUBELSKI",1,"2003","15"
"kobieta",0.927881248,"do 24 lat","Lubelskie","LUBELSKI",15,"2003","15"
"mężczyzna",1.090373020672,"45-59 lat","Lubelskie","LUBELSKI",0,"2003","15"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","LUBELSKI",10,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",0,"2003","15"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","LUBELSKI",5,"2003","15"
"kobieta",1.102403328,"45-59 lat","Lubelskie","PUŁAWSKI",3,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","PUŁAWSKI",2,"2003","15"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","PUŁAWSKI",5,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","BIALSKI",3,"2003","15"
"mężczyzna",1.09042529184,"35-44 lata","Lubelskie","PUŁAWSKI",0,"2003","15"
"mężczyzna",0.959843497632,"60-64 lata","Lubelskie","LUBELSKI",0,"2003","15"
"mężczyzna",1.00628200064,"do 24 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",1,"2003","15"
"mężczyzna",0.97936345656,"35-44 lata","Lubelskie","BIALSKI",2,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","BIALSKI",4,"2003","15"
"mężczyzna",0.97936345656,"45-59 lat","Lubelskie","LUBELSKI",10,"2003","15"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",40,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",50,"2003","15"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",10,"2003","15"
"mężczyzna",0.97936345656,"35-44 lata","Lubelskie","LUBELSKI",3,"2003","15"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",0,"2003","15"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",1,"2003","15"
"kobieta",1.102403328,"45-59 lat","Lubelskie","LUBELSKI",15,"2003","15"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",3,"2003","15"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",0,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",5,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",3,"2003","15"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",1,"2003","15"
"kobieta",1.102403328,"45-59 lat","Lubelskie","LUBELSKI",20,"2003","15"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",25,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",3,"2003","15"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",70,"2003","15"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",7,"2003","15"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",2,"2003","15"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",3,"2003","15"
"kobieta",0.95400288,"45-59 lat","Lubelskie","LUBELSKI",1,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",1,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",2,"2003","15"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",5,"2003","15"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",1,"2003","15"
"mężczyzna",1.09042529184,"35-44 lata","Lubelskie","LUBELSKI",5,"2003","15"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",5,"2003","15"
"mężczyzna",1.308510350208,"25-34 lata","Lubelskie","LUBELSKI",5,"2003","15"
"kobieta",1.240203744,"25-34 lata","Lubelskie","LUBELSKI",50,"2003","15"
"kobieta",1.102403328,"45-59 lat","Lubelskie","LUBELSKI",2,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",5,"2003","15"
"kobieta",0.963057074,"25-34 lata","Lubelskie","LUBELSKI",1,"2003","15"
"mężczyzna",1.04442998632,"do 24 lat","Lubelskie","LUBELSKI",1,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",4,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",2,"2003","15"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",3,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",30,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",8,"2003","15"
"kobieta",0.95400288,"35-44 lata","Lubelskie","LUBELSKI",1,"2003","15"
"mężczyzna",1.131708883136,"45-59 lat","Lubelskie","LUBELSKI",1,"2003","15"
"kobieta",0.963057074,"do 24 lat","Lubelskie","LUBELSKI",2,"2003","15"
"kobieta",1.102403328,"45-59 lat","Lubelskie","LUBELSKI",0,"2003","15"
"mężczyzna",0.55018822144,"45-59 lat","Lubuskie","GORZOWSKI",8,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","GORZOWSKI",1,"2003","13"
"kobieta",0.53594112,"45-59 lat","Lubuskie","GORZOWSKI",10,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",2,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",3,"2003","13"
"mężczyzna",0.4941742212,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",0,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","GORZOWSKI",16,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","GORZOWSKI",12,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",2,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","GORZOWSKI",4,"2003","13"
"kobieta",0.46819696,"do 24 lat","Lubuskie","GORZOWSKI",1,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",13,"2003","13"
"mężczyzna",0.4941742212,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",5,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",60,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",4,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",8,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"mężczyzna",0.63614149632,"25-34 lata","Lubuskie","GORZOWSKI",1,"2003","13"
"kobieta",0.46819696,"do 24 lat","Lubuskie","GORZOWSKI",20,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","GORZOWSKI",0,"2003","13"
"mężczyzna",0.66025751616,"25-34 lata","Lubuskie","GORZOWSKI",30,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",4,"2003","13"
"kobieta",0.5024448,"35-44 lata","Lubuskie","GORZOWSKI",2,"2003","13"
"kobieta",0.46819696,"do 24 lat","Lubuskie","GORZOWSKI",2,"2003","13"
"kobieta",0.55625856,"45-59 lat","Lubuskie","ZIELONOGÓRSKI",5,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",5,"2003","13"
"mężczyzna",0.5077569728,"25-34 lata","Lubuskie","ZIELONOGÓRSKI",15,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",4,"2003","13"
"kobieta",0.4813776,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",5,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",10,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"kobieta",0.5214924,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",0,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",30,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",15,"2003","13"
"mężczyzna",0.57104576672,"45-59 lat","Lubuskie","ZIELONOGÓRSKI",5,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",1,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",0,"2003","13"
"mężczyzna",0.4761244224,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",8,"2003","13"
"kobieta",0.5024448,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",1,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"mężczyzna",0.5077569728,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",3,"2003","13"
"kobieta",0.46819696,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",1,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",5,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","GORZOWSKI",10,"2003","13"
"kobieta",0.55625856,"45-59 lat","Lubuskie","GORZOWSKI",1,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","GORZOWSKI",9,"2003","13"
"mężczyzna",0.57104576672,"45-59 lat","Lubuskie","GORZOWSKI",2,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","GORZOWSKI",10,"2003","13"
"kobieta",0.4813776,"35-44 lata","Lubuskie","GORZOWSKI",3,"2003","13"
"mężczyzna",0.5502145968,"35-44 lata","Lubuskie","GORZOWSKI",6,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","GORZOWSKI",5,"2003","13"
"mężczyzna",0.66025751616,"25-34 lata","Lubuskie","GORZOWSKI",5,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",2,"2003","13"
"mężczyzna",0.57104576672,"45-59 lat","Lubuskie","GORZOWSKI",14,"2003","13"
"kobieta",0.48594623,"25-34 lata","Lubuskie","GORZOWSKI",2,"2003","13"
"mężczyzna",0.5502145968,"35-44 lata","Lubuskie","GORZOWSKI",5,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","GORZOWSKI",20,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","GORZOWSKI",25,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","GORZOWSKI",20,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","GORZOWSKI",3,"2003","13"
"mężczyzna",0.66025751616,"25-34 lata","Lubuskie","GORZOWSKI",10,"2003","13"
"kobieta",0.48594623,"25-34 lata","Lubuskie","GORZOWSKI",6,"2003","13"
"mężczyzna",0.66025751616,"25-34 lata","Lubuskie","GORZOWSKI",4,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","GORZOWSKI",5,"2003","13"
"mężczyzna",0.5502145968,"35-44 lata","Lubuskie","GORZOWSKI",0,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","GORZOWSKI",1,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","ZIELONOGÓRSKI",0,"2003","13"
"mężczyzna",0.66025751616,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",5,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"kobieta",0.62579088,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",1,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","ZIELONOGÓRSKI",3,"2003","13"
"kobieta",0.55625856,"45-59 lat","Lubuskie","ZIELONOGÓRSKI",1,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",4,"2003","13"
"mężczyzna",0.5270059564,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",4,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","ZIELONOGÓRSKI",10,"2003","13"
"kobieta",0.62579088,"25-34 lata","Lubuskie","ZIELONOGÓRSKI",1,"2003","13"
"mężczyzna",0.4941742212,"45-59 lat","Lubuskie","ZIELONOGÓRSKI",25,"2003","13"
"kobieta",0.55625856,"45-59 lat","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",30,"2003","13"
"kobieta",0.48594623,"do 24 lat","Lubuskie","ZIELONOGÓRSKI",40,"2003","13"
"mężczyzna",0.5502145968,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"kobieta",0.5214924,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",2,"2003","13"
"kobieta",0.5214924,"35-44 lata","Lubuskie","ZIELONOGÓRSKI",4,"2003","13"
"kobieta",0.93639392,"do 24 lat","Lubuskie",NA,1,"2003","13"
"kobieta",1.024904776,"do 24 lat","Podkarpackie","PRZEMYSKI",3,"2003","14"
"mężczyzna",1.11150347168,"do 24 lat","Podkarpackie","PRZEMYSKI",6,"2003","14"
"kobieta",1.19177408,"do 24 lat","Mazowieckie","RADOMSKI",15,"2003","3"
"mężczyzna",1.68065549568,"35-44 lata","Mazowieckie","CIECHANOWSKO-PŁOCKI",3,"2003","3"
"mężczyzna",1.3414697072,"do 24 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",3,"2003","3"
"kobieta",1.23695404,"do 24 lat","Mazowieckie","WARSZAWSKI   ZACHODNI",3,"2003","3"
"kobieta",1.41593088,"45-59 lat","Mazowieckie","WARSZAWSKI   ZACHODNI",2,"2003","3"
"mężczyzna",1.45357104256,"45-59 lat","Mazowieckie","WARSZAWSKI   ZACHODNI",15,"2003","3"
"mężczyzna",1.3414697072,"do 24 lat","Mazowieckie","WARSZAWSKI WSCHODNI",5,"2003","3"
"kobieta",1.53474048,"25-34 lata","Mazowieckie","WARSZAWSKI WSCHODNI",2,"2003","3"
"mężczyzna",1.61926926336,"25-34 lata","Mazowieckie","WARSZAWSKI WSCHODNI",1,"2003","3"
"mężczyzna",1.4005462464,"35-44 lata","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",10,"2003","3"
"kobieta",1.19177408,"do 24 lat","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",2,"2003","3"
"kobieta",1.19177408,"do 24 lat","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",2,"2003","3"
"kobieta",1.19177408,"do 24 lat","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",2,"2003","3"
"kobieta",1.23695404,"do 24 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",1,"2003","3"
"mężczyzna",1.3414697072,"do 24 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",0,"2003","3"
"mężczyzna",1.68065549568,"25-34 lata","Mazowieckie","WARSZAWSKI WSCHODNI",10,"2003","3"
"kobieta",1.59292224,"25-34 lata","Mazowieckie","WARSZAWSKI WSCHODNI",15,"2003","3"
"kobieta",1.53474048,"35-44 lata","Mazowieckie","WARSZAWSKI WSCHODNI",2,"2003","3"
"mężczyzna",1.3493910528,"35-44 lata","Mazowieckie","WARSZAWSKI WSCHODNI",4,"2003","3"
"mężczyzna",1.68065549568,"25-34 lata","Mazowieckie","WARSZAWSKI WSCHODNI",1,"2003","3"
"kobieta",1.23695404,"25-34 lata","Mazowieckie","WARSZAWSKI WSCHODNI",0,"2003","3"
"kobieta",1.53474048,"25-34 lata","Mazowieckie","WARSZAWSKI   ZACHODNI",4,"2003","3"
"kobieta",1.19177408,"do 24 lat","Mazowieckie","WARSZAWSKI   ZACHODNI",2,"2003","3"
"mężczyzna",1.2924722944,"do 24 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",0,"2003","3"
"mężczyzna",1.45357104256,"45-59 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",3,"2003","3"
"kobieta",1.41593088,"45-59 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",0,"2003","3"
"kobieta",1.23695404,"do 24 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",8,"2003","3"
