"plec","edukacja","wiek","wojewodztwo","podregion66","waga","rok"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Lubuskie","ZIELONOGÓRSKI",1.43528405856,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Łódzkie","PIOTRKOWSKI",0.93326931456,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Łódzkie","SKIERNIEWICKI",0.96864940128,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Małopolskie","KRAKOWSKI",1.021484823168,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Małopolskie","TARNOWSKI",1.160396976128,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Małopolskie","M. KRAKÓW",1.204387435264,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Mazowieckie","CIECHANOWSKO-PŁOCKI",1.23282651072,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",2.42062382016,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Mazowieckie","M.WARSZAWA",1.23282651072,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Opolskie","OPOLSKI",0.654106969152,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Podkarpackie","RZESZOWSKI",1.765346963584,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Podkarpackie","TARNOBRZESKI",0.780552517632,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Podlaskie","BIAŁOSTOCKI",0.517540256256,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Podlaskie","ŁOMŻYŃSKI",0.517540256256,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Podlaskie","SUWALSKI",0.537160122528,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Pomorskie","SŁUPSKI",2.400838788864,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Pomorskie","TRÓJMIEJSKI",2.430429406848,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Śląskie","BIELSKI",2.472494330592,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Śląskie","GLIWICKI",0,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Śląskie","KATOWICKI",1.484718993472,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Śląskie","SOSNOWIECKI",3.777732664992,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Śląskie","TYSKI",1.259244221664,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Śląskie",NA,1.213250108928,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Świętokrzyskie","KIELECKI",1.14476747424,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",0.55147732224,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Warmińsko-Mazurskie","ELBLĄSKI",1.285661932608,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Wielkopolskie","KALISKI",1.030290726816,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Wielkopolskie","KONIŃSKI",1.030290726816,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Wielkopolskie","POZNAŃSKI",0.992659180032,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Wielkopolskie","PILSKI",0.992659180032,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Wielkopolskie","M. POZNAŃ",1.030290726816,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Zachodniopomorskie","KOSZALIŃSKI",1.49700362016,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Zachodniopomorskie","STARGARDZKI",0.74850181008,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Zachodniopomorskie","SZCZECIŃSKI",0.74850181008,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","60-64 lata","Zachodniopomorskie","M.SZCZECIN",2.24550543024,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Dolnośląskie","JELENIOGÓRSKI",2.086817505808,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Dolnośląskie","WAŁBRZYSKI",3.537002972208,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Dolnośląskie","M.WROCŁAW",1.179000990736,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",0.958626973776,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",2.683367564928,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",1.829959952976,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Lubelskie","PUŁAWSKI",2.290225344864,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Lubelskie","LUBELSKI",2.334093479632,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",2.402076784864,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Lubuskie","ZIELONOGÓRSKI",1.18992179592,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Łódzkie","ŁÓDZKI",2.42411418656,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Łódzkie","PIOTRKOWSKI",2.18070649456,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Łódzkie","SIERADZKI",2.33557299712,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Łódzkie","M. ŁÓDŹ",1.143450088,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Małopolskie","KRAKOWSKI",2.509653242304,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Małopolskie","NOWOSĄDECKI",3.31979637792,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Małopolskie","OŚWIĘCIMSKI",7.045987724608,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Małopolskie","M. KRAKÓW",3.505474214336,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",1.23282651072,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Mazowieckie","RADOMSKI",2.94157383744,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Mazowieckie","M.WARSZAWA",2.910600224,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Mazowieckie","WARSZAWSKI WSCHODNI",3.08523623744,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Opolskie","NYSKI",1.337646352896,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Opolskie","OPOLSKI",1.325143414224,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Podkarpackie","KROŚNIEŃSKI",0.976694162432,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Podkarpackie","PRZEMYSKI",2.854443823232,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Podkarpackie","RZESZOWSKI",1.013720478016,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Podkarpackie","TARNOBRZESKI",1.990414640448,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Podlaskie","BIAŁOSTOCKI",1.319731446384,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Podlaskie","SUWALSKI",0,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Pomorskie","GDAŃSKI",1.990414640448,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Pomorskie","SŁUPSKI",1.013720478016,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Pomorskie","STAROGARDZKI",1.013720478016,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Pomorskie","TRÓJMIEJSKI",1.013720478016,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Śląskie","BIELSKI",2.731372557056,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Śląskie","BYTOMSKI",1.518122448128,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Śląskie","CZĘSTOCHOWSKI",3.036244896256,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Śląskie","GLIWICKI",1.575674221264,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Śląskie","KATOWICKI",1.4864851144,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Śląskie","RYBNICKI",4.580281783792,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Śląskie","SOSNOWIECKI",3.151348442528,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Śląskie",NA,1.575674221264,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Świętokrzyskie","KIELECKI",2.7720019236,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",0.69005565824,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Warmińsko-Mazurskie","OLSZTYŃSKI",1.608730323808,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Wielkopolskie","KALISKI",3.655992996864,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Wielkopolskie","KONIŃSKI",1.2162150936,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Wielkopolskie","LESZCZYŃSKI",2.531288184048,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Wielkopolskie","POZNAŃSKI",5.083779091248,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Wielkopolskie","PILSKI",0.992659180032,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Wielkopolskie","M. POZNAŃ",0,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Zachodniopomorskie","STARGARDZKI",0.74850181008,"2003"
"mężczyzna","zasadnicze zawodowe/gimanzjum","65+ lat","Zachodniopomorskie","SZCZECIŃSKI",0.90238047616,"2003"
"mężczyzna","średnie","25-34 lata","Dolnośląskie","JELENIOGÓRSKI",7.613172675072,"2003"
"mężczyzna","średnie","25-34 lata","Dolnośląskie","WROCŁAWSKI",7.269573179392,"2003"
"mężczyzna","średnie","25-34 lata","Dolnośląskie","WAŁBRZYSKI",2.522085351552,"2003"
"mężczyzna","średnie","25-34 lata","Dolnośląskie","M.WROCŁAW",6.163270077296,"2003"
"mężczyzna","średnie","25-34 lata","Dolnośląskie",NA,1.284500985984,"2003"
"mężczyzna","średnie","25-34 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",0,"2003"
"mężczyzna","średnie","25-34 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3.133222031232,"2003"
"mężczyzna","średnie","25-34 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",5.145742401408,"2003"
"mężczyzna","średnie","25-34 lata","Lubelskie","PUŁAWSKI",3.661450686736,"2003"
"mężczyzna","średnie","25-34 lata","Lubelskie","LUBELSKI",10.108415304592,"2003"
"mężczyzna","średnie","25-34 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",1.260716783616,"2003"
"mężczyzna","średnie","25-34 lata","Lubuskie","GORZOWSKI",1.95665652864,"2003"
"mężczyzna","średnie","25-34 lata","Lubuskie","ZIELONOGÓRSKI",3.10055499776,"2003"
"mężczyzna","średnie","25-34 lata","Łódzkie","ŁÓDZKI",3.96154509696,"2003"
"mężczyzna","średnie","25-34 lata","Łódzkie","PIOTRKOWSKI",2.64103006464,"2003"
"mężczyzna","średnie","25-34 lata","Łódzkie","SIERADZKI",3.8650810176,"2003"
"mężczyzna","średnie","25-34 lata","Łódzkie","SKIERNIEWICKI",1.0155139456,"2003"
"mężczyzna","średnie","25-34 lata","Łódzkie","M. ŁÓDŹ",2.64103006464,"2003"
"mężczyzna","średnie","25-34 lata","Małopolskie","KRAKOWSKI",1.341680246784,"2003"
"mężczyzna","średnie","25-34 lata","Małopolskie","NOWOSĄDECKI",1.11150347168,"2003"
"mężczyzna","średnie","25-34 lata","Małopolskie","OŚWIĘCIMSKI",5.417583865344,"2003"
"mężczyzna","średnie","25-34 lata","Małopolskie","TARNOWSKI",6.860989868544,"2003"
"mężczyzna","średnie","25-34 lata","Małopolskie","M. KRAKÓW",5.570172499968,"2003"
"mężczyzna","średnie","25-34 lata","Mazowieckie","CIECHANOWSKO-PŁOCKI",6.51767848704,"2003"
"mężczyzna","średnie","25-34 lata","Mazowieckie","WARSZAWSKI   ZACHODNI",8.28050501376,"2003"
"mężczyzna","średnie","25-34 lata","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",6.2116663168,"2003"
"mężczyzna","średnie","25-34 lata","Mazowieckie","RADOMSKI",6.59984951808,"2003"
"mężczyzna","średnie","25-34 lata","Mazowieckie","M.WARSZAWA",20.16786594816,"2003"
"mężczyzna","średnie","25-34 lata","Mazowieckie","WARSZAWSKI WSCHODNI",6.2606637296,"2003"
"mężczyzna","średnie","25-34 lata","Opolskie","NYSKI",1.484966141568,"2003"
"mężczyzna","średnie","25-34 lata","Opolskie","OPOLSKI",4.232502628704,"2003"
"mężczyzna","średnie","25-34 lata","Podkarpackie","KROŚNIEŃSKI",0.88153723616,"2003"
"mężczyzna","średnie","25-34 lata","Podkarpackie","PRZEMYSKI",2.168521984512,"2003"
"mężczyzna","średnie","25-34 lata","Podkarpackie","RZESZOWSKI",7.427442713792,"2003"
"mężczyzna","średnie","25-34 lata","Podkarpackie","TARNOBRZESKI",1.064091230208,"2003"
"mężczyzna","średnie","25-34 lata","Podlaskie","BIAŁOSTOCKI",7.094827419664,"2003"
"mężczyzna","średnie","25-34 lata","Podlaskie","ŁOMŻYŃSKI",2.875648718592,"2003"
"mężczyzna","średnie","25-34 lata","Podlaskie","SUWALSKI",4.340219936256,"2003"
"mężczyzna","średnie","25-34 lata","Pomorskie","SŁUPSKI",3.272952738816,"2003"
"mężczyzna","średnie","25-34 lata","Pomorskie","STAROGARDZKI",1.064091230208,"2003"
"mężczyzna","średnie","25-34 lata","Pomorskie","TRÓJMIEJSKI",15.239137042112,"2003"
"mężczyzna","średnie","25-34 lata","Śląskie","BYTOMSKI",1.716669542016,"2003"
"mężczyzna","średnie","25-34 lata","Śląskie","CZĘSTOCHOWSKI",5.02460532288,"2003"
"mężczyzna","średnie","25-34 lata","Śląskie","GLIWICKI",3.370637432448,"2003"
"mężczyzna","średnie","25-34 lata","Śląskie","KATOWICKI",4.803554570672,"2003"
"mężczyzna","średnie","25-34 lata","Śląskie","RYBNICKI",3.433339084032,"2003"
"mężczyzna","średnie","25-34 lata","Śląskie","SOSNOWIECKI",8.58334771008,"2003"
"mężczyzna","średnie","25-34 lata","Śląskie","TYSKI",0,"2003"
"mężczyzna","średnie","25-34 lata","Świętokrzyskie","KIELECKI",5.22490094464,"2003"
"mężczyzna","średnie","25-34 lata","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",3.9015216864,"2003"
"mężczyzna","średnie","25-34 lata","Warmińsko-Mazurskie","ELBLĄSKI",2.597016847104,"2003"
"mężczyzna","średnie","25-34 lata","Warmińsko-Mazurskie","EŁCKI",0.844333258752,"2003"
"mężczyzna","średnie","25-34 lata","Warmińsko-Mazurskie","OLSZTYŃSKI",4.317691900032,"2003"
"mężczyzna","średnie","25-34 lata","Wielkopolskie","KALISKI",5.19117827904,"2003"
"mężczyzna","średnie","25-34 lata","Wielkopolskie","KONIŃSKI",5.464287174528,"2003"
"mężczyzna","średnie","25-34 lata","Wielkopolskie","LESZCZYŃSKI",3.889233174528,"2003"
"mężczyzna","średnie","25-34 lata","Wielkopolskie","POZNAŃSKI",1.353246455808,"2003"
"mężczyzna","średnie","25-34 lata","Wielkopolskie","PILSKI",1.404547807104,"2003"
"mężczyzna","średnie","25-34 lata","Wielkopolskie","M. POZNAŃ",4.213643421312,"2003"
"mężczyzna","średnie","25-34 lata","Zachodniopomorskie","KOSZALIŃSKI",4.0443217056,"2003"
"mężczyzna","średnie","25-34 lata","Zachodniopomorskie","STARGARDZKI",2.00352574656,"2003"
"mężczyzna","średnie","25-34 lata","Zachodniopomorskie","M.SZCZECIN",2.85525970984,"2003"
"mężczyzna","średnie","35-44 lata","Dolnośląskie","JELENIOGÓRSKI",2.10173779296,"2003"
"mężczyzna","średnie","35-44 lata","Dolnośląskie","LEGNICKO-GŁOGOWSKI",2.0318109732,"2003"
"mężczyzna","średnie","35-44 lata","Dolnośląskie","WROCŁAWSKI",4.277705444064,"2003"
"mężczyzna","średnie","35-44 lata","Dolnośląskie","WAŁBRZYSKI",1.284500985984,"2003"
"mężczyzna","średnie","35-44 lata","Dolnośląskie","M.WROCŁAW",5.309025748704,"2003"
"mężczyzna","średnie","35-44 lata","Kujawsko-Pomorskie","GRUDZIĄDZKI",3.27551494248,"2003"
"mężczyzna","średnie","35-44 lata","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3.439987174368,"2003"
"mężczyzna","średnie","35-44 lata","Kujawsko-Pomorskie","WŁOCŁAWSKI",2.37338619048,"2003"
"mężczyzna","średnie","35-44 lata","Lubelskie","BIALSKI",3.1244426208,"2003"
"mężczyzna","średnie","35-44 lata","Lubelskie","LUBELSKI",4.25063933208,"2003"
"mężczyzna","średnie","35-44 lata","Lubelskie","CHEŁMSKO-ZAMOJSKI",3.302699707008,"2003"
"mężczyzna","średnie","35-44 lata","Lubuskie","GORZOWSKI",1.4644728648,"2003"
"mężczyzna","średnie","35-44 lata","Lubuskie","ZIELONOGÓRSKI",5.5679379624,"2003"
"mężczyzna","średnie","35-44 lata","Łódzkie","SIERADZKI",3.52137341952,"2003"
"mężczyzna","średnie","35-44 lata","Łódzkie","SKIERNIEWICKI",1.1004291936,"2003"
"mężczyzna","średnie","35-44 lata","Łódzkie","M. ŁÓDŹ",2.088777636,"2003"
"mężczyzna","średnie","35-44 lata","Małopolskie","KRAKOWSKI",3.16451492064,"2003"
"mężczyzna","średnie","35-44 lata","Małopolskie","NOWOSĄDECKI",2.5107014556,"2003"
"mężczyzna","średnie","35-44 lata","Małopolskie","OŚWIĘCIMSKI",2.16032522976,"2003"
"mężczyzna","średnie","35-44 lata","Małopolskie","TARNOWSKI",2.16464229504,"2003"
"mężczyzna","średnie","35-44 lata","Małopolskie","M. KRAKÓW",6.48993863808,"2003"
"mężczyzna","średnie","35-44 lata","Mazowieckie","CIECHANOWSKO-PŁOCKI",2.7499372992,"2003"
"mężczyzna","średnie","35-44 lata","Mazowieckie","WARSZAWSKI   ZACHODNI",3.985879464,"2003"
"mężczyzna","średnie","35-44 lata","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",1.4005462464,"2003"
"mężczyzna","średnie","35-44 lata","Mazowieckie","RADOMSKI",2.658444264,"2003"
"mężczyzna","średnie","35-44 lata","Mazowieckie","M.WARSZAWA",1.2578980176,"2003"
"mężczyzna","średnie","35-44 lata","Mazowieckie","WARSZAWSKI WSCHODNI",5.2657333344,"2003"
"mężczyzna","średnie","35-44 lata","Opolskie","NYSKI",3.077575944912,"2003"
"mężczyzna","średnie","35-44 lata","Opolskie","OPOLSKI",4.02639187608,"2003"
"mężczyzna","średnie","35-44 lata","Podkarpackie","KROŚNIEŃSKI",0.79642630656,"2003"
"mężczyzna","średnie","35-44 lata","Podkarpackie","PRZEMYSKI",2.208861508608,"2003"
"mężczyzna","średnie","35-44 lata","Podkarpackie","RZESZOWSKI",2.851408413504,"2003"
"mężczyzna","średnie","35-44 lata","Podkarpackie","TARNOBRZESKI",0.92035896192,"2003"
"mężczyzna","średnie","35-44 lata","Podlaskie","BIAŁOSTOCKI",4.06291538952,"2003"
"mężczyzna","średnie","35-44 lata","Podlaskie","ŁOMŻYŃSKI",2.960029166544,"2003"
"mężczyzna","średnie","35-44 lata","Podlaskie","SUWALSKI",2.438691888672,"2003"
"mężczyzna","średnie","35-44 lata","Pomorskie","GDAŃSKI",4.31688934944,"2003"
"mężczyzna","średnie","35-44 lata","Pomorskie","SŁUPSKI",3.523902064704,"2003"
"mężczyzna","średnie","35-44 lata","Pomorskie","STAROGARDZKI",2.66733662112,"2003"
"mężczyzna","średnie","35-44 lata","Pomorskie","TRÓJMIEJSKI",4.049579432448,"2003"
"mężczyzna","średnie","35-44 lata","Śląskie","BIELSKI",5.1443284464,"2003"
"mężczyzna","średnie","35-44 lata","Śląskie","CZĘSTOCHOWSKI",7.90134695064,"2003"
"mężczyzna","średnie","35-44 lata","Śląskie","KATOWICKI",2.7154109268,"2003"
"mężczyzna","średnie","35-44 lata","Śląskie","RYBNICKI",1.23792349824,"2003"
"mężczyzna","średnie","35-44 lata","Śląskie","SOSNOWIECKI",7.00708478184,"2003"
"mężczyzna","średnie","35-44 lata","Śląskie","TYSKI",2.66848144992,"2003"
"mężczyzna","średnie","35-44 lata","Świętokrzyskie","KIELECKI",3.6150877152,"2003"
"mężczyzna","średnie","35-44 lata","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",1.189195488,"2003"
"mężczyzna","średnie","35-44 lata","Świętokrzyskie",NA,0.5626924992,"2003"
"mężczyzna","średnie","35-44 lata","Warmińsko-Mazurskie","ELBLĄSKI",1.43389587744,"2003"
"mężczyzna","średnie","35-44 lata","Warmińsko-Mazurskie","EŁCKI",3.32701998552,"2003"
"mężczyzna","średnie","35-44 lata","Warmińsko-Mazurskie","OLSZTYŃSKI",2.74570381008,"2003"
"mężczyzna","średnie","35-44 lata","Wielkopolskie","KALISKI",5.41784935224,"2003"
"mężczyzna","średnie","35-44 lata","Wielkopolskie","KONIŃSKI",3.19179522168,"2003"
"mężczyzna","średnie","35-44 lata","Wielkopolskie","LESZCZYŃSKI",3.23454634776,"2003"
"mężczyzna","średnie","35-44 lata","Wielkopolskie","POZNAŃSKI",3.574946305008,"2003"
"mężczyzna","średnie","35-44 lata","Wielkopolskie","M. POZNAŃ",5.847947505504,"2003"
"mężczyzna","średnie","35-44 lata","Zachodniopomorskie","KOSZALIŃSKI",3.1970523816,"2003"
"mężczyzna","średnie","35-44 lata","Zachodniopomorskie","STARGARDZKI",0.8503316496,"2003"
"mężczyzna","średnie","35-44 lata","Zachodniopomorskie","M.SZCZECIN",1.5274475928,"2003"
"mężczyzna","średnie","45-59 lat","Dolnośląskie","JELENIOGÓRSKI",5.514140506368,"2003"
"mężczyzna","średnie","45-59 lat","Dolnośląskie","LEGNICKO-GŁOGOWSKI",4.294224232464,"2003"
"mężczyzna","średnie","45-59 lat","Dolnośląskie","WROCŁAWSKI",3.148165586816,"2003"
"mężczyzna","średnie","45-59 lat","Dolnośląskie","WAŁBRZYSKI",5.514140506368,"2003"
"mężczyzna","średnie","45-59 lat","Dolnośląskie","M.WROCŁAW",5.55471791264,"2003"
"mężczyzna","średnie","45-59 lat","Dolnośląskie",NA,1.110943582528,"2003"
"mężczyzna","średnie","45-59 lat","Kujawsko-Pomorskie","GRUDZIĄDZKI",3.42557980872,"2003"
"mężczyzna","średnie","45-59 lat","Kujawsko-Pomorskie","BYDGOSKO-TORUŃSKI",3.491565497424,"2003"
"mężczyzna","średnie","45-59 lat","Kujawsko-Pomorskie","WŁOCŁAWSKI",11.323781694784,"2003"
"mężczyzna","średnie","45-59 lat","Lubelskie","BIALSKI",1.090373020672,"2003"
"mężczyzna","średnie","45-59 lat","Lubelskie","PUŁAWSKI",2.222081903808,"2003"
"mężczyzna","średnie","45-59 lat","Lubelskie","LUBELSKI",8.97099934016,"2003"
"mężczyzna","średnie","45-59 lat","Lubelskie","CHEŁMSKO-ZAMOJSKI",4.374490105968,"2003"
"mężczyzna","średnie","45-59 lat","Lubuskie","GORZOWSKI",3.99732036704,"2003"
"mężczyzna","średnie","45-59 lat","Lubuskie","ZIELONOGÓRSKI",2.18926172256,"2003"
"mężczyzna","średnie","45-59 lat","Łódzkie","ŁÓDZKI",5.62702748608,"2003"
"mężczyzna","średnie","45-59 lat","Łódzkie","PIOTRKOWSKI",5.5149994856,"2003"
"mężczyzna","średnie","45-59 lat","Łódzkie","SIERADZKI",2.24246797632,"2003"
"mężczyzna","średnie","45-59 lat","Łódzkie","SKIERNIEWICKI",4.48493595264,"2003"
"mężczyzna","średnie","45-59 lat","Łódzkie","M. ŁÓDŹ",4.56836613376,"2003"
"mężczyzna","średnie","45-59 lat","Małopolskie","KRAKOWSKI",5.845975339776,"2003"
"mężczyzna","średnie","45-59 lat","Małopolskie","NOWOSĄDECKI",3.652233049088,"2003"
"mężczyzna","średnie","45-59 lat","Małopolskie","OŚWIĘCIMSKI",5.977946717184,"2003"
"mężczyzna","średnie","45-59 lat","Małopolskie","TARNOWSKI",2.364784411392,"2003"
"mężczyzna","średnie","45-59 lat","Małopolskie","M. KRAKÓW",3.613162305792,"2003"
"mężczyzna","średnie","45-59 lat","Mazowieckie","CIECHANOWSKO-PŁOCKI",7.21476327936,"2003"
"mężczyzna","średnie","45-59 lat","Mazowieckie","WARSZAWSKI   ZACHODNI",4.30762119424,"2003"
"mężczyzna","średnie","45-59 lat","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",9.7669565392,"2003"
"mężczyzna","średnie","45-59 lat","Mazowieckie","RADOMSKI",4.30762119424,"2003"
"mężczyzna","średnie","45-59 lat","Mazowieckie","M.WARSZAWA",15.59793541824,"2003"
"mężczyzna","średnie","45-59 lat","Mazowieckie","WARSZAWSKI WSCHODNI",8.66833432192,"2003"
"mężczyzna","średnie","45-59 lat","Opolskie","NYSKI",3.900750444864,"2003"
"mężczyzna","średnie","45-59 lat","Opolskie","OPOLSKI",4.530966043968,"2003"
"mężczyzna","średnie","45-59 lat","Podkarpackie","KROŚNIEŃSKI",3.78592632704,"2003"
"mężczyzna","średnie","45-59 lat","Podkarpackie","PRZEMYSKI",5.626556013312,"2003"
"mężczyzna","średnie","45-59 lat","Podkarpackie","RZESZOWSKI",12.060509141824,"2003"
"mężczyzna","średnie","45-59 lat","Podkarpackie","TARNOBRZESKI",2.830722499072,"2003"
"mężczyzna","średnie","45-59 lat","Podlaskie","BIAŁOSTOCKI",5.67694210304,"2003"
"mężczyzna","średnie","45-59 lat","Podlaskie","ŁOMŻYŃSKI",4.387125852096,"2003"
"mężczyzna","średnie","45-59 lat","Podlaskie","SUWALSKI",1.85375917792,"2003"
"mężczyzna","średnie","45-59 lat","Pomorskie","GDAŃSKI",7.40837853856,"2003"
"mężczyzna","średnie","45-59 lat","Pomorskie","SŁUPSKI",5.661444998144,"2003"
