"plec","edukacja","wiek","wojewodztwo","podregion66","waga","rok"
"mężczyzna","podstawowe i niższe","35-44 lata","Małopolskie","OŚWIĘCIMSKI",1.469460121875,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Mazowieckie","CIECHANOWSKO-PŁOCKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Mazowieckie","OSTROŁĘCKO-SIEDLECKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Mazowieckie","RADOMSKI",1.9190475,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Opolskie","NYSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Opolskie","OPOLSKI",2.85,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Podkarpackie","PRZEMYSKI",1.736809475,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Podkarpackie","RZESZOWSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Podkarpackie","TARNOBRZESKI",0,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Podkarpackie",NA,0,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Podlaskie","BIAŁOSTOCKI",1.03,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Podlaskie","ŁOMŻYŃSKI",2.85,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Podlaskie","SUWALSKI",2.85,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Pomorskie","GDAŃSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Śląskie","BIELSKI",1.823095125,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Śląskie","GLIWICKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Śląskie","SOSNOWIECKI",1.823095125,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Świętokrzyskie","SANDOMIERSKO-JĘDRZEJOWSKI",2.4277380625,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Świętokrzyskie",NA,0,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Warmińsko-Mazurskie","ELBLĄSKI",5.40571425,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Warmińsko-Mazurskie","EŁCKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Warmińsko-Mazurskie","OLSZTYŃSKI",0,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Wielkopolskie","KALISKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Wielkopolskie","KONIŃSKI",2.197380875,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Wielkopolskie","LESZCZYŃSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Wielkopolskie","POZNAŃSKI",0.95,"2000"
"mężczyzna","podstawowe i niższe","35-44 lata","Wielkopolskie","PILSKI",0,"2000"
